,DATE,PLANT_NAME,MATERIAL_NAME,TOTAL_UNRESTRICTED_STOCK
0,2024/01/31,CHINA-WAREHOUSE,MAT-0001,2225625
1,2024/01/31,CHINA-WAREHOUSE,MAT-0002,1175
2,2024/01/31,CHINA-WAREHOUSE,MAT-0003,112540
3,2024/01/31,CHINA-WAREHOUSE,MAT-0004,83925
4,2024/01/31,CHINA-WAREHOUSE,MAT-0006,3850
5,2024/01/31,CHINA-WAREHOUSE,MAT-0007,116275
6,2024/01/31,CHINA-WAREHOUSE,MAT-0008,1250
7,2024/01/31,CHINA-WAREHOUSE,MAT-0009,618800
8,2024/01/31,CHINA-WAREHOUSE,MAT-0013,329600
9,2024/01/31,CHINA-WAREHOUSE,MAT-0015,1184375
10,2024/01/31,CHINA-WAREHOUSE,MAT-0016,0
11,2024/01/31,CHINA-WAREHOUSE,MAT-0017,119650
12,2024/01/31,CHINA-WAREHOUSE,MAT-0032,500700
13,2024/01/31,CHINA-WAREHOUSE,MAT-0035,304750
14,2024/01/31,CHINA-WAREHOUSE,MAT-0042,148500
15,2024/01/31,CHINA-WAREHOUSE,MAT-0046,898450
16,2024/01/31,CHINA-WAREHOUSE,MAT-0047,607150
17,2024/01/31,CHINA-WAREHOUSE,MAT-0049,20175
18,2024/01/31,CHINA-WAREHOUSE,MAT-0050,224100
19,2024/01/31,CHINA-WAREHOUSE,MAT-0052,8400
20,2024/01/31,CHINA-WAREHOUSE,MAT-0053,86775
21,2024/01/31,CHINA-WAREHOUSE,MAT-0054,5000
22,2024/01/31,CHINA-WAREHOUSE,MAT-0055,573525
23,2024/01/31,CHINA-WAREHOUSE,MAT-0056,149650
24,2024/01/31,CHINA-WAREHOUSE,MAT-0057,33075
25,2024/01/31,CHINA-WAREHOUSE,MAT-0064,49875
26,2024/01/31,CHINA-WAREHOUSE,MAT-0065,593150
27,2024/01/31,CHINA-WAREHOUSE,MAT-0082,373550
28,2024/01/31,CHINA-WAREHOUSE,MAT-0084,115075
29,2024/01/31,CHINA-WAREHOUSE,MAT-0085,15900
30,2024/01/31,CHINA-WAREHOUSE,MAT-0094,1800
31,2024/01/31,CHINA-WAREHOUSE,MAT-0096,222650
32,2024/01/31,CHINA-WAREHOUSE,MAT-0097,75000
33,2024/01/31,CHINA-WAREHOUSE,MAT-0098,175750
34,2024/01/31,CHINA-WAREHOUSE,MAT-0099,989600
35,2024/01/31,CHINA-WAREHOUSE,MAT-0100,6550
36,2024/01/31,CHINA-WAREHOUSE,MAT-0101,173100
37,2024/01/31,CHINA-WAREHOUSE,MAT-0102,24700
38,2024/01/31,CHINA-WAREHOUSE,MAT-0103,65375
39,2024/01/31,CHINA-WAREHOUSE,MAT-0104,14625
40,2024/01/31,CHINA-WAREHOUSE,MAT-0111,79750
41,2024/01/31,CHINA-WAREHOUSE,MAT-0112,49325
42,2024/01/31,CHINA-WAREHOUSE,MAT-0113,153350
43,2024/01/31,CHINA-WAREHOUSE,MAT-0114,108850
44,2024/01/31,CHINA-WAREHOUSE,MAT-0115,24725
45,2024/01/31,CHINA-WAREHOUSE,MAT-0116,12975
46,2024/01/31,CHINA-WAREHOUSE,MAT-0117,350
47,2024/01/31,CHINA-WAREHOUSE,MAT-0137,389125
48,2024/01/31,CHINA-WAREHOUSE,MAT-0138,23725
49,2024/01/31,CHINA-WAREHOUSE,MAT-0142,869650
50,2024/01/31,CHINA-WAREHOUSE,MAT-0143,680525
51,2024/01/31,CHINA-WAREHOUSE,MAT-0144,276450
52,2024/01/31,CHINA-WAREHOUSE,MAT-0145,1179900
53,2024/01/31,CHINA-WAREHOUSE,MAT-0146,598575
54,2024/01/31,CHINA-WAREHOUSE,MAT-0147,208175
55,2024/01/31,CHINA-WAREHOUSE,MAT-0148,158600
56,2024/01/31,CHINA-WAREHOUSE,MAT-0150,230125
57,2024/01/31,CHINA-WAREHOUSE,MAT-0151,147700
58,2024/01/31,CHINA-WAREHOUSE,MAT-0152,40950
59,2024/01/31,CHINA-WAREHOUSE,MAT-0153,25400
60,2024/01/31,CHINA-WAREHOUSE,MAT-0154,137750
61,2024/01/31,CHINA-WAREHOUSE,MAT-0156,19125
62,2024/01/31,CHINA-WAREHOUSE,MAT-0157,700
63,2024/01/31,CHINA-WAREHOUSE,MAT-0158,210850
64,2024/01/31,CHINA-WAREHOUSE,MAT-0159,237625
65,2024/01/31,CHINA-WAREHOUSE,MAT-0161,99000
66,2024/01/31,CHINA-WAREHOUSE,MAT-0162,24750
67,2024/01/31,CHINA-WAREHOUSE,MAT-0176,102000
68,2024/01/31,CHINA-WAREHOUSE,MAT-0177,2500
69,2024/01/31,CHINA-WAREHOUSE,MAT-0178,2525
70,2024/01/31,CHINA-WAREHOUSE,MAT-0179,22150
71,2024/01/31,CHINA-WAREHOUSE,MAT-0180,46700
72,2024/01/31,CHINA-WAREHOUSE,MAT-0193,192440
73,2024/01/31,CHINA-WAREHOUSE,MAT-0195,459000
74,2024/01/31,CHINA-WAREHOUSE,MAT-0198,715750
75,2024/01/31,CHINA-WAREHOUSE,MAT-0199,14600
76,2024/01/31,CHINA-WAREHOUSE,MAT-0200,600
77,2024/01/31,CHINA-WAREHOUSE,MAT-0201,1051750
78,2024/01/31,CHINA-WAREHOUSE,MAT-0202,193625
79,2024/01/31,CHINA-WAREHOUSE,MAT-0203,5500
80,2024/01/31,CHINA-WAREHOUSE,MAT-0204,10200
81,2024/01/31,CHINA-WAREHOUSE,MAT-0206,590500
82,2024/01/31,CHINA-WAREHOUSE,MAT-0207,48125
83,2024/01/31,CHINA-WAREHOUSE,MAT-0213,92025
84,2024/01/31,CHINA-WAREHOUSE,MAT-0214,5000
85,2024/01/31,CHINA-WAREHOUSE,MAT-0215,106800
86,2024/01/31,CHINA-WAREHOUSE,MAT-0216,18520
87,2024/01/31,CHINA-WAREHOUSE,MAT-0217,153700
88,2024/01/31,CHINA-WAREHOUSE,MAT-0229,173175
89,2024/01/31,CHINA-WAREHOUSE,MAT-0230,0
90,2024/01/31,CHINA-WAREHOUSE,MAT-0233,6525
91,2024/01/31,CHINA-WAREHOUSE,MAT-0234,716975
92,2024/01/31,CHINA-WAREHOUSE,MAT-0235,725
93,2024/01/31,CHINA-WAREHOUSE,MAT-0236,42200
94,2024/01/31,CHINA-WAREHOUSE,MAT-0237,601000
95,2024/01/31,CHINA-WAREHOUSE,MAT-0249,25900
96,2024/01/31,CHINA-WAREHOUSE,MAT-0256,98850
97,2024/01/31,CHINA-WAREHOUSE,MAT-0257,4775
98,2024/01/31,CHINA-WAREHOUSE,MAT-0258,11550
99,2024/01/31,CHINA-WAREHOUSE,MAT-0259,125750
100,2024/01/31,CHINA-WAREHOUSE,MAT-0260,2400
101,2024/01/31,CHINA-WAREHOUSE,MAT-0261,535425
102,2024/01/31,CHINA-WAREHOUSE,MAT-0262,49500
103,2024/01/31,CHINA-WAREHOUSE,MAT-0264,411675
104,2024/01/31,CHINA-WAREHOUSE,MAT-0265,275075
105,2024/01/31,CHINA-WAREHOUSE,MAT-0266,98700
106,2024/01/31,CHINA-WAREHOUSE,MAT-0267,9400
107,2024/01/31,CHINA-WAREHOUSE,MAT-0268,400075
108,2024/01/31,CHINA-WAREHOUSE,MAT-0269,12375
109,2024/01/31,CHINA-WAREHOUSE,MAT-0270,324075
110,2024/01/31,CHINA-WAREHOUSE,MAT-0271,600
111,2024/01/31,CHINA-WAREHOUSE,MAT-0276,53525
112,2024/01/31,CHINA-WAREHOUSE,MAT-0277,51925
113,2024/01/31,CHINA-WAREHOUSE,MAT-0278,39525
114,2024/01/31,CHINA-WAREHOUSE,MAT-0281,265525
115,2024/01/31,CHINA-WAREHOUSE,MAT-0295,108850
116,2024/01/31,CHINA-WAREHOUSE,MAT-0312,32325
117,2024/01/31,CHINA-WAREHOUSE,MAT-0313,2500
118,2024/01/31,CHINA-WAREHOUSE,MAT-0314,1753400
119,2024/01/31,CHINA-WAREHOUSE,MAT-0316,149300
120,2024/01/31,CHINA-WAREHOUSE,MAT-0317,385250
121,2024/01/31,CHINA-WAREHOUSE,MAT-0318,199125
122,2024/01/31,CHINA-WAREHOUSE,MAT-0319,588875
123,2024/01/31,CHINA-WAREHOUSE,MAT-0320,16200
124,2024/01/31,CHINA-WAREHOUSE,MAT-0321,508425
125,2024/01/31,CHINA-WAREHOUSE,MAT-0322,26725
126,2024/01/31,CHINA-WAREHOUSE,MAT-0323,273425
127,2024/01/31,CHINA-WAREHOUSE,MAT-0324,557300
128,2024/01/31,CHINA-WAREHOUSE,MAT-0325,554925
129,2024/01/31,CHINA-WAREHOUSE,MAT-0326,83700
130,2024/01/31,CHINA-WAREHOUSE,MAT-0327,243975
131,2024/01/31,CHINA-WAREHOUSE,MAT-0328,408250
132,2024/01/31,CHINA-WAREHOUSE,MAT-0329,24375
133,2024/01/31,CHINA-WAREHOUSE,MAT-0330,24350
134,2024/01/31,CHINA-WAREHOUSE,MAT-0332,1468550
135,2024/01/31,CHINA-WAREHOUSE,MAT-0333,373250
136,2024/01/31,CHINA-WAREHOUSE,MAT-0337,1000
137,2024/01/31,CHINA-WAREHOUSE,MAT-0338,36450
138,2024/01/31,CHINA-WAREHOUSE,MAT-0339,25975
139,2024/01/31,CHINA-WAREHOUSE,MAT-0340,540075
140,2024/01/31,CHINA-WAREHOUSE,MAT-0350,1075
141,2024/01/31,CHINA-WAREHOUSE,MAT-0351,6825
142,2024/01/31,CHINA-WAREHOUSE,MAT-0352,18700
