,MATERIAL_NAME,DATE,INBOUND,OUTBOUND,BEFORE,AFTER,week,month,quarter,is_month_start,week_of_month,rolling_inbound_2,rolling_outbound_2,inbound_std_2,outbound_std_2,max_outbound_2,min_outbound_2,inbound_sum_2,outbound_sum_2,rolling_inbound_4,rolling_outbound_4,inbound_std_4,outbound_std_4,max_outbound_4,min_outbound_4,inbound_sum_4,outbound_sum_4,rolling_inbound_12,rolling_outbound_12,inbound_std_12,outbound_std_12,max_outbound_12,min_outbound_12,inbound_sum_12,outbound_sum_12,net_flow_2,net_flow_4,net_flow_12,weeks_since_last_inbound,weeks_since_last_outbound,OUTBOUND_target
0,MAT-0001,2024-01-08,1708.5,270.05,1927.525,3365.9750000000004,2024-01-08,1,1,0,2,1708.5,270.05,0.0,0.0,270.05,270.05,1708.5,270.05,1708.5,270.05,0.0,0.0,270.05,270.05,1708.5,270.05,1708.5,270.05,0.0,0.0,270.05,270.05,1708.5,270.05,1438.45,1438.45,1438.45,0,0,463.24
1,MAT-0001,2024-01-15,0.0,463.24,3365.9750000000004,2902.7350000000006,2024-01-15,1,1,0,3,854.25,366.645,1208.0919356572165,136.60595905742912,463.24,270.05,1708.5,733.29,854.25,366.645,1208.0919356572165,136.60595905742912,463.24,270.05,1708.5,733.29,854.25,366.645,1208.0919356572165,136.60595905742912,463.24,270.05,1708.5,733.29,975.21,975.21,975.21,1,0,375.02
2,MAT-0001,2024-01-22,0.0,375.02,2902.7350000000006,2527.715,2024-01-22,1,1,0,4,0.0,419.13,0.0,62.38096023627734,463.24,375.02,0.0,838.26,569.5,369.43666666666667,986.4029349104757,96.71594611713901,463.24,270.05,1708.5,1108.31,569.5,369.43666666666667,986.4029349104757,96.71594611713901,463.24,270.05,1708.5,1108.31,-838.26,600.19,600.19,2,0,294.0
3,MAT-0001,2024-01-29,0.0,294.0,2527.715,2233.715,2024-01-29,1,1,0,5,0.0,334.51,0.0,57.28979141173417,375.02,294.0,0.0,669.02,427.125,350.5775,854.25,87.51374458715995,463.24,270.05,1708.5,1402.31,427.125,350.5775,854.25,87.51374458715995,463.24,270.05,1708.5,1402.31,-669.02,306.19000000000005,306.19000000000005,3,0,109.5
4,MAT-0001,2024-02-05,0.0,109.5,2233.715,2124.215,2024-02-05,2,1,0,2,0.0,201.75,0.0,130.46120112891805,294.0,109.5,0.0,403.5,0.0,310.44,0.0,150.73771215812803,463.24,109.5,0.0,1241.76,341.7,302.36199999999997,764.0644279116781,131.78643260973413,463.24,109.5,1708.5,1511.81,-403.5,-1241.76,196.69000000000005,4,0,0.0
5,MAT-0001,2024-02-12,0.0,0.0,,,2024-02-12,2,1,0,3,0.0,54.75,0.0,77.42819253992702,109.5,0.0,0.0,109.5,0.0,194.63,0.0,170.8243764806416,375.02,0.0,0.0,778.52,284.75,251.96833333333333,697.4922042575099,170.67882380854007,463.24,0.0,1708.5,1511.81,-109.5,-778.52,196.69000000000005,5,1,0.0
6,MAT-0001,2024-02-19,0.0,0.0,,,2024-02-19,2,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.875,0.0,138.71215700146823,294.0,0.0,0.0,403.5,244.07142857142858,215.97285714285712,645.7523021362647,182.60824431135683,463.24,0.0,1708.5,1511.81,0.0,-403.5,196.69000000000005,6,2,228.81
7,MAT-0001,2024-02-26,0.0,228.81,2124.215,1895.405,2024-02-26,2,1,0,5,0.0,114.405,0.0,161.79310260329396,228.81,0.0,0.0,228.81,0.0,84.5775,0.0,109.13424771811992,228.81,0.0,0.0,338.31,213.5625,217.5775,604.0459678286082,169.12329338173885,463.24,0.0,1708.5,1740.62,-228.81,-338.31,-32.11999999999989,7,0,175.56
8,MAT-0001,2024-03-04,0.0,175.56,1895.405,1719.845,2024-03-04,3,1,0,2,0.0,202.185,0.0,37.6534360981838,228.81,175.56,0.0,404.37,0.0,101.0925,0.0,118.73858608304197,228.81,0.0,0.0,404.37,189.83333333333334,212.9088888888889,569.5,158.81912884193486,463.24,0.0,1708.5,1916.18,-404.37,-404.37,-207.68000000000006,8,0,106.53
9,MAT-0001,2024-03-11,229.5,106.53,1719.845,1842.815,2024-03-11,3,1,0,3,114.75,141.04500000000002,162.28100628231266,48.811581105307496,175.56,106.53,229.5,282.09000000000003,57.375,127.725,114.75,98.77460554211275,228.81,0.0,229.5,510.9,193.8,202.27100000000002,537.0762515695513,153.46839945807153,463.24,0.0,1938.0,2022.71,-52.59000000000003,-281.4,-84.71000000000004,0,0,205.53
10,MAT-0001,2024-03-18,0.0,205.53,1842.815,1637.285,2024-03-18,3,1,0,4,114.75,156.03,162.28100628231266,70.00357133746827,205.53,106.53,229.5,312.06,57.375,179.10750000000002,114.75,53.06777199958538,228.81,106.53,229.5,716.4300000000001,176.1818181818182,202.5672727272727,512.8549635485296,145.59622324022754,463.24,0.0,1938.0,2228.24,-82.56,-486.93000000000006,-290.2399999999998,1,0,84.23
