Unnamed: 0,DATE,MATERIAL_NAME,INBOUND,OUTBOUND,BEFORE,AFTER,date,dayofweek,is_weekend,is_month_start,rolling_inbound_3,rolling_outbound_3,inbound_std_3,outbound_std_3,inbound_freq_3,outbound_freq_3,max_outbound_3,inbound_sum_3,outbound_sum_3,rolling_inbound_7,rolling_outbound_7,inbound_std_7,outbound_std_7,inbound_freq_7,outbound_freq_7,max_outbound_7,inbound_sum_7,outbound_sum_7,rolling_inbound_15,rolling_outbound_15,inbound_std_15,outbound_std_15,inbound_freq_15,outbound_freq_15,max_outbound_15,inbound_sum_15,outbound_sum_15,net_flow_3,net_flow_7,net_flow_15,days_since_last_inbound,days_since_last_outbound,stock_future_min,risk
36,2024-01-03,MAT-0001,0.0,25.5,1927.525,1902.025,2024-01-03,2,0,0,0.0,25.5,0.0,0.0,0.0,1.0,25.5,0.0,25.5,0.0,25.5,0.0,0.0,0.0,1.0,25.5,0.0,25.5,0.0,25.5,0.0,0.0,0.0,1.0,25.5,0.0,25.5,-25.5,-25.5,-25.5,1,0,3154.7450000000003,0
98,2024-01-05,MAT-0001,0.0,141.05,1902.025,1760.975,2024-01-05,4,0,0,0.0,83.275,0.0,81.70618856610558,0.0,2.0,141.05,0.0,166.55,0.0,83.275,0.0,81.70618856610558,0.0,2.0,141.05,0.0,166.55,0.0,83.275,0.0,81.70618856610558,0.0,2.0,141.05,0.0,166.55,-166.55,-166.55,-166.55,2,0,3114.2450000000003,0
125,2024-01-06,MAT-0001,0.0,76.5,1760.975,1684.475,2024-01-06,5,1,0,0.0,81.01666666666667,0.0,57.9072606270866,0.0,3.0,141.05,0.0,243.05,0.0,81.01666666666667,0.0,57.9072606270866,0.0,3.0,141.05,0.0,243.05,0.0,81.01666666666667,0.0,57.9072606270866,0.0,3.0,141.05,0.0,243.05,-243.05,-243.05,-243.05,3,0,2953.7350000000006,0
158,2024-01-07,MAT-0001,1708.5,0.0,1684.475,3392.9750000000004,2024-01-07,6,1,0,569.5,72.51666666666667,986.4029349104757,70.60931831800484,1.0,2.0,141.05,1708.5,217.55,427.125,60.7625,854.25,62.26094783248968,1.0,3.0,141.05,1708.5,243.05,427.125,60.7625,854.25,62.26094783248968,1.0,3.0,141.05,1708.5,243.05,1490.95,1465.45,1465.45,0,1,2902.7350000000006,0
169,2024-01-08,MAT-0001,0.0,27.0,3392.9750000000004,3365.9750000000004,2024-01-08,0,0,0,569.5,34.5,986.4029349104757,38.797551469132706,1.0,2.0,76.5,1708.5,103.5,341.7,54.010000000000005,764.0644279116781,55.99375411597262,1.0,4.0,141.05,1708.5,270.05,341.7,54.010000000000005,764.0644279116781,55.99375411597262,1.0,4.0,141.05,1708.5,270.05,1605.0,1438.45,1438.45,1,0,2859.2350000000006,0
191,2024-01-09,MAT-0001,0.0,33.0,3365.9750000000004,3332.9750000000004,2024-01-09,1,0,0,569.5,20.0,986.4029349104757,17.578395831246993,1.0,2.0,33.0,1708.5,60.0,284.75,50.50833333333333,697.4922042575099,50.81151854320699,1.0,5.0,141.05,1708.5,303.05,284.75,50.50833333333333,697.4922042575099,50.81151854320699,1.0,5.0,141.05,1708.5,303.05,1648.5,1405.45,1405.45,2,0,2757.2250000000004,0
231,2024-01-10,MAT-0001,0.0,51.0,3332.9750000000004,3281.9750000000004,2024-01-10,2,0,0,0.0,37.0,0.0,12.48999599679685,0.0,3.0,51.0,0.0,111.0,244.07142857142858,50.57857142857143,645.7523021362647,46.38473040005423,1.0,6.0,141.05,1708.5,354.05,244.07142857142858,50.57857142857143,645.7523021362647,46.38473040005423,1.0,6.0,141.05,1708.5,354.05,-111.0,1354.45,1354.45,3,0,2698.7250000000004,0
262,2024-01-11,MAT-0001,0.0,127.23,3281.9750000000004,3154.7450000000003,2024-01-11,3,0,0,0.0,70.41000000000001,0.0,50.023837317822796,0.0,3.0,127.23,0.0,211.23000000000002,244.07142857142858,65.11142857142858,645.7523021362647,52.721498596736744,1.0,6.0,141.05,1708.5,455.78000000000003,213.5625,60.160000000000004,604.0459678286082,50.78001659820806,1.0,7.0,141.05,1708.5,481.28000000000003,-211.23000000000002,1252.72,1227.22,4,0,2680.7250000000004,0
292,2024-01-12,MAT-0001,0.0,40.5,3154.7450000000003,3114.2450000000003,2024-01-12,4,0,0,0.0,72.91000000000001,0.0,47.33454658069517,0.0,3.0,127.23,0.0,218.73000000000002,244.07142857142858,50.74714285714286,645.7523021362647,40.971667736899086,1.0,6.0,127.23,1708.5,355.23,189.83333333333334,57.97555555555555,569.5,47.950286785146325,1.0,8.0,141.05,1708.5,521.78,-218.73000000000002,1353.27,1186.72,5,0,2527.715,0
318,2024-01-13,MAT-0001,0.0,160.51,3114.2450000000003,2953.7350000000006,2024-01-13,5,1,0,0.0,109.41333333333334,0.0,61.95704345216396,0.0,3.0,160.51,0.0,328.24,244.07142857142858,62.74857142857143,645.7523021362647,58.37879250451926,1.0,6.0,160.51,1708.5,439.24,170.85,68.229,540.2751382397676,55.633544127821146,1.0,9.0,160.51,1708.5,682.29,-328.24,1269.26,1026.21,6,0,2454.215,0
351,2024-01-15,MAT-0001,0.0,51.0,2953.7350000000006,2902.7350000000006,2024-01-15,0,0,0,0.0,84.00333333333333,0.0,66.46438921206854,0.0,3.0,160.51,0.0,252.01,0.0,70.03428571428572,0.0,52.08578624319142,0.0,7.0,160.51,0.0,490.24,155.3181818181818,66.66272727272727,515.1321322111091,53.03364424417939,1.0,10.0,160.51,1708.5,733.29,-252.01,-490.24,975.21,7,0,2403.215,0
