DATE,MATERIAL_NAME,INBOUND,OUTBOUND,BEFORE,AFTER,NET_OUT_MT,REMAINING CAPACITY
2/1/2024,MAT-0007,0.0,24.76,117.725,92.965,42162.24,15837.760000000002
2/1/2024,MAT-0013,0.0,54.0,386.275,332.275,42108.24,15891.760000000002
2/1/2024,MAT-0015,0.0,99.0,1762.45,1663.45,42009.24,15990.760000000002
2/1/2024,MAT-0055,0.0,12.38,664.55,652.17,41996.86,16003.14
2/1/2024,MAT-0056,0.0,0.6,26.525,25.925,41996.26,16003.739999999998
2/1/2024,MAT-0084,0.0,24.75,431.525,406.775,41971.51,16028.489999999998
2/1/2024,MAT-0112,0.0,74.27,276.35,202.08000000000004,41897.240000000005,16102.759999999995
2/1/2024,MAT-0142,0.0,15.0,1101.0,1086.0,41882.240000000005,16117.759999999995
2/1/2024,MAT-0143,0.0,0.05,1061.45,1061.4,41882.19,16117.809999999998
2/1/2024,MAT-0145,0.0,34.5,3090.025,3055.525,41847.69,16152.309999999998
2/1/2024,MAT-0195,0.0,0.11,454.1,453.99,41847.58,16152.419999999998
2/1/2024,MAT-0206,0.0,90.01,839.175,749.165,41757.57,16242.43
2/1/2024,MAT-0229,0.0,49.62,251.175,201.555,41707.95,16292.050000000003
2/1/2024,MAT-0264,0.0,99.01,684.05,585.04,41608.939999999995,16391.060000000005
2/1/2024,MAT-0266,0.0,9.63,10.125,0.4949999999999992,41599.31,16400.690000000002
2/1/2024,MAT-0268,0.0,102.0,410.7,308.7,41497.31,16502.690000000002
2/1/2024,MAT-0314,0.0,3.25,922.175,918.925,41494.06,16505.940000000002
2/1/2024,MAT-0316,0.0,49.51,141.1,91.59,41444.549999999996,16555.450000000004
2/1/2024,MAT-0317,0.0,13.75,176.925,163.175,41430.799999999996,16569.200000000004
2/1/2024,MAT-0318,0.0,99.0,397.5,298.5,41331.799999999996,16668.200000000004
2/1/2024,MAT-0319,0.0,24.75,960.475,935.725,41307.049999999996,16692.950000000004
2/1/2024,MAT-0321,0.0,24.75,198.05,173.3,41282.299999999996,16717.700000000004
2/1/2024,MAT-0325,0.0,49.5,685.8,636.3,41232.799999999996,16767.200000000004
2/1/2024,MAT-0339,0.0,0.35,1.125,0.775,41232.45,16767.550000000003
2/1/2024,MAT-0340,0.0,24.75,689.375,664.625,41207.7,16792.300000000003
2/1/2024,MAT-0382,0.0,24.75,1545.775,1521.025,41182.95,16817.050000000003
2/1/2024,MAT-0389,0.0,3.01,1266.225,1263.215,41179.939999999995,16820.060000000005
2/1/2024,MAT-0390,0.0,5.5,228.35,222.85,41174.439999999995,16825.560000000005
2/1/2024,MAT-0415,0.0,49.5,882.75,833.25,41124.939999999995,16875.060000000005
2/1/2024,MAT-0428,0.0,24.75,241.875,217.125,41100.189999999995,16899.810000000005
3/1/2024,MAT-0001,0.0,25.5,1927.525,1902.025,41074.689999999995,16925.310000000005
3/1/2024,MAT-0005,0.0,0.03,0.025,-0.005,41074.659999999996,16925.340000000004
3/1/2024,MAT-0013,0.0,10.5,332.275,321.775,41064.159999999996,16935.840000000004
3/1/2024,MAT-0056,0.0,24.76,25.925,1.1649999999999956,41039.399999999994,16960.600000000006
3/1/2024,MAT-0064,0.0,69.0,118.875,49.875,40970.399999999994,17029.600000000006
3/1/2024,MAT-0082,0.0,67.5,801.075,733.575,40902.899999999994,17097.100000000006
3/1/2024,MAT-0084,0.0,17.88,406.775,388.895,40885.02,17114.980000000003
3/1/2024,MAT-0097,148.5,0.0,147.875,296.375,41033.52,16966.480000000003
3/1/2024,MAT-0111,0.0,24.75,181.5,156.75,41008.77,16991.230000000003
3/1/2024,MAT-0142,0.0,18.0,1086.0,1068.0,40990.77,17009.230000000003
3/1/2024,MAT-0143,0.0,12.0,1061.4,1049.4,40978.77,17021.230000000003
3/1/2024,MAT-0144,0.0,142.5,1503.325,1360.825,40836.27,17163.730000000003
3/1/2024,MAT-0145,0.0,309.02,3055.525,2746.505,40527.25,17472.75
3/1/2024,MAT-0146,0.0,49.5,483.45,433.95,40477.75,17522.25
